t;sucrose_input_rate;soil_temperature
289;2.23E-11;20
290;2.20E-11;20
291;2.17E-11;20
292;2.14E-11;20
293;2.11E-11;20
294;2.08E-11;20
295;2.05E-11;20
296;2.03E-11;20
297;2.00E-11;20
298;1.97E-11;20
299;1.94E-11;20
300;1.91E-11;20
301;1.88E-11;20
302;1.85E-11;20
303;1.81E-11;20
304;1.78E-11;20
305;1.74E-11;20
306;1.70E-11;20
307;1.66E-11;20
308;1.63E-11;20
309;1.59E-11;20
310;1.55E-11;20
311;1.52E-11;20
312;1.48E-11;20
313;1.44E-11;20
314;1.37E-11;20
315;1.31E-11;20
316;1.25E-11;20
317;1.19E-11;20
318;1.13E-11;20
319;1.07E-11;20
320;1.01E-11;20
321;9.46E-12;20
322;8.85E-12;20
323;9.28E-12;20
324;9.73E-12;20
325;1.02E-11;20
326;1.06E-11;20
327;1.11E-11;20
328;1.15E-11;20
329;1.20E-11;20
330;1.23E-11;20
331;1.24E-11;20
332;1.25E-11;20
333;1.27E-11;20
334;1.28E-11;20
335;1.30E-11;20
336;1.31E-11;20
337;1.32E-11;20
338;1.34E-11;20
339;1.33E-11;20
340;1.31E-11;20
341;1.29E-11;20
342;1.28E-11;20
343;1.26E-11;20
344;1.25E-11;20
345;1.23E-11;20
346;1.22E-11;20
347;1.20E-11;20
348;1.19E-11;20
349;1.18E-11;20
350;1.17E-11;20
351;1.17E-11;20
352;1.16E-11;20
353;1.15E-11;20
354;1.14E-11;20
355;1.13E-11;20
356;1.26E-11;20
357;1.48E-11;20
358;1.71E-11;20
359;1.93E-11;20
360;2.15E-11;20
361;2.38E-11;20
362;2.60E-11;20
363;2.82E-11;20
364;2.92E-11;20
365;2.80E-11;20
366;2.68E-11;20
367;2.57E-11;20
368;2.45E-11;20
369;2.34E-11;20
370;2.22E-11;20
371;2.11E-11;20
372;1.99E-11;20
373;1.88E-11;20
374;1.76E-11;20
375;1.65E-11;20
376;1.53E-11;20
377;1.42E-11;20
378;1.39E-11;20
379;1.43E-11;20
380;1.46E-11;20
381;1.50E-11;20
382;1.53E-11;20
383;1.57E-11;20
384;1.60E-11;20
385;1.64E-11;20
386;1.67E-11;20
387;1.71E-11;20
388;1.74E-11;20
389;1.78E-11;20
390;1.81E-11;20
391;1.84E-11;20
392;1.88E-11;20
393;1.91E-11;20
394;1.95E-11;20
395;1.98E-11;20
396;2.01E-11;20
397;2.02E-11;20
398;2.03E-11;20
399;2.05E-11;20
400;2.06E-11;20
401;2.07E-11;20
402;2.08E-11;20
403;2.09E-11;20
404;2.10E-11;20
405;2.11E-11;20
406;2.13E-11;20
407;2.13E-11;20
408;2.13E-11;20
409;2.14E-11;20
410;2.14E-11;20
411;2.14E-11;20
412;2.14E-11;20
413;2.14E-11;20
414;2.14E-11;20
415;2.15E-11;20
416;2.15E-11;20
417;2.15E-11;20
418;2.16E-11;20
419;2.16E-11;20
420;2.17E-11;20
421;2.18E-11;20
422;2.18E-11;20
423;2.19E-11;20
424;2.20E-11;20
425;2.20E-11;20
426;2.21E-11;20
427;2.22E-11;20
428;2.22E-11;20
429;2.22E-11;20
430;2.22E-11;20
431;2.22E-11;20
432;2.22E-11;20
433;2.22E-11;20
434;2.22E-11;20
435;2.22E-11;20
436;2.22E-11;20
437;2.22E-11;20
438;2.23E-11;20
439;2.25E-11;20
440;2.26E-11;20
441;2.27E-11;20
442;2.29E-11;20
443;2.30E-11;20
444;2.32E-11;20
445;2.33E-11;20
446;2.35E-11;20
447;2.38E-11;20
448;2.44E-11;20
449;2.51E-11;20
450;2.57E-11;20
451;2.64E-11;20
452;2.70E-11;20
453;2.77E-11;20
454;2.83E-11;20
455;2.90E-11;20
456;2.96E-11;20
457;3.03E-11;20
458;3.09E-11;20
459;3.16E-11;20
460;3.22E-11;20
461;3.29E-11;20
462;3.36E-11;20
463;3.42E-11;20
464;3.49E-11;20
465;3.55E-11;20
466;3.63E-11;20
467;3.74E-11;20
468;3.85E-11;20
469;3.96E-11;20
470;4.07E-11;20
471;4.18E-11;20
472;4.29E-11;20
473;4.40E-11;20
474;4.51E-11;20
475;4.62E-11;20
476;4.73E-11;20
477;4.80E-11;20
478;4.87E-11;20
479;4.94E-11;20
480;5.01E-11;20
481;5.08E-11;20
482;5.16E-11;20
483;5.23E-11;20
484;5.30E-11;20
485;5.37E-11;20
486;5.44E-11;20
487;5.51E-11;20
488;5.58E-11;20
489;5.66E-11;20
490;5.74E-11;20
491;5.82E-11;20
492;5.90E-11;20
493;5.98E-11;20
494;6.06E-11;20
495;6.14E-11;20
496;6.22E-11;20
497;6.30E-11;20
498;6.38E-11;20
499;6.46E-11;20
500;6.54E-11;20
501;6.62E-11;20
502;6.71E-11;20
503;6.80E-11;20
504;6.90E-11;20
505;6.99E-11;20
506;7.08E-11;20
507;7.17E-11;20
508;7.26E-11;20
509;7.35E-11;20
510;7.45E-11;20
511;7.54E-11;20
512;7.63E-11;20
513;7.72E-11;20
514;7.81E-11;20
515;7.88E-11;20
516;7.94E-11;20
517;8.01E-11;20
518;8.08E-11;20
519;8.14E-11;20
520;8.21E-11;20
521;8.28E-11;20
522;8.35E-11;20
523;8.41E-11;20
524;8.48E-11;20
525;8.55E-11;20
526;8.61E-11;20
527;8.68E-11;20
528;8.67E-11;20
529;8.60E-11;20
530;8.52E-11;20
531;8.45E-11;20
532;8.38E-11;20
533;8.31E-11;20
534;8.23E-11;20
535;8.16E-11;20
536;8.09E-11;20
537;8.02E-11;20
538;7.94E-11;20
539;7.87E-11;20
540;7.80E-11;20
541;7.73E-11;20
542;7.81E-11;20
543;7.94E-11;20
544;8.06E-11;20
545;8.19E-11;20
546;8.32E-11;20
547;8.45E-11;20
548;8.58E-11;20
549;8.70E-11;20
550;8.83E-11;20
551;8.96E-11;20
552;9.09E-11;20
553;9.22E-11;20
554;9.34E-11;20
555;9.48E-11;20
556;9.64E-11;20
557;9.81E-11;20
558;9.97E-11;20
559;1.01E-10;20
560;1.03E-10;20
561;1.05E-10;20
562;1.06E-10;20
563;1.08E-10;20
564;1.10E-10;20
565;1.11E-10;20
566;1.13E-10;20
567;1.15E-10;20
568;1.16E-10;20
569;1.18E-10;20
570;1.20E-10;20
571;1.22E-10;20
572;1.24E-10;20
573;1.25E-10;20
574;1.27E-10;20
575;1.29E-10;20
576;1.31E-10;20
577;1.33E-10;20
578;1.34E-10;20
579;1.36E-10;20
580;1.38E-10;20
581;1.40E-10;20
582;1.42E-10;20
583;1.44E-10;20
584;1.45E-10;20
585;1.47E-10;20
586;1.49E-10;20
587;1.51E-10;20
588;1.53E-10;20
589;1.55E-10;20
590;1.56E-10;20
591;1.58E-10;20
592;1.60E-10;20
593;1.62E-10;20
594;1.64E-10;20
595;1.66E-10;20
596;1.68E-10;20
597;1.70E-10;20
598;1.72E-10;20
599;1.73E-10;20
600;1.75E-10;20
601;1.77E-10;20
602;1.79E-10;20
603;1.81E-10;20
604;1.83E-10;20
605;1.85E-10;20
606;1.87E-10;20
607;1.89E-10;20
608;1.91E-10;20
609;1.93E-10;20
610;1.95E-10;20
611;1.97E-10;20
612;1.99E-10;20
613;2.01E-10;20
614;2.02E-10;20
615;2.04E-10;20
616;2.06E-10;20
617;2.08E-10;20
618;2.10E-10;20
619;2.12E-10;20
620;2.13E-10;20
621;2.15E-10;20
622;2.17E-10;20
623;2.19E-10;20
624;2.21E-10;20
625;2.23E-10;20
626;2.24E-10;20
627;2.26E-10;20
628;2.28E-10;20
629;2.30E-10;20
630;2.32E-10;20
631;2.34E-10;20
632;2.36E-10;20
633;2.38E-10;20
634;2.40E-10;20
635;2.42E-10;20
636;2.44E-10;20
637;2.46E-10;20
638;2.48E-10;20
639;2.50E-10;20
640;2.52E-10;20
641;2.54E-10;20
642;2.56E-10;20
643;2.58E-10;20
644;2.60E-10;20
645;2.62E-10;20
646;2.64E-10;20
647;2.66E-10;20
648;2.68E-10;20
649;2.70E-10;20
650;2.72E-10;20
651;2.74E-10;20
652;2.76E-10;20
653;2.78E-10;20
654;2.80E-10;20
655;2.82E-10;20
656;2.84E-10;20
657;2.86E-10;20
658;2.89E-10;20
659;2.91E-10;20
660;2.93E-10;20
661;2.95E-10;20
662;2.97E-10;20
663;2.99E-10;20
664;3.01E-10;20
665;3.03E-10;20
666;3.05E-10;20
667;3.07E-10;20
668;3.09E-10;20
669;3.12E-10;20
670;3.14E-10;20
671;3.16E-10;20
672;3.18E-10;20
673;3.20E-10;20
674;3.22E-10;20
675;3.24E-10;20
676;3.26E-10;20
677;3.28E-10;20
678;3.31E-10;20
679;3.33E-10;20
680;3.35E-10;20
681;3.37E-10;20
682;3.39E-10;20
683;3.41E-10;20
684;3.43E-10;20
685;3.46E-10;20
686;3.48E-10;20
687;3.51E-10;20
688;3.53E-10;20
689;3.55E-10;20
690;3.58E-10;20
691;3.60E-10;20
692;3.63E-10;20
693;3.65E-10;20
694;3.68E-10;20
695;3.70E-10;20
696;3.72E-10;20
697;3.75E-10;20
698;3.77E-10;20
699;3.80E-10;20
700;3.82E-10;20
701;3.85E-10;20
702;3.87E-10;20
703;3.89E-10;20
